Date,Average temperature in degrees Celsius.,Minimum temperature in degrees Celsius.,Maximum temperature in degrees Celsius.,Total rainfall in mm.,Wind speed in km/h.,Air pressure in hPa.
1/1/2023,0.1,-2,3,0.2,2.6,1010
1/2/2023,-2.1,-3,-1,3,5.4,1007.9
1/3/2023,-5.5,-9,-3,0,1.8,1008.5
1/4/2023,-5.2,-11,1,0,6.9,1014.4
1/5/2023,-4.7,-8,1,0,2.7,1017.1
1/6/2023,0,-7,7,0,4.1,1015.5
1/7/2023,-0.2,-3,4,0,3.3,1023
1/8/2023,2.3,-5,12,0,7.6,1018.6
1/9/2023,5.8,0,11,0,9,1014.8
1/10/2023,6.1,-1,13,0,20.9,1008
1/11/2023,1,-1,3,0.6,5.8,1012.4
1/12/2023,-0.3,-4,4,0,3.1,1026.6
1/13/2023,2.4,-2,8,0,2.8,1022.1
1/14/2023,8.8,0,16,0,8.6,1008.8
1/15/2023,4,1,7,0,5.3,999.6
1/16/2023,1.5,-2,7,0,4.7,1002.1
1/17/2023,-0.8,-3,2,4.3,5.3,1004.4
1/18/2023,-2.4,-4,-1,9.1,7.1,1007.1
1/19/2023,-2.2,-6,0,0,4,1013.9
1/20/2023,-3.6,-7,0,0,0.8,1019.7
1/21/2023,-3.3,-8,0,0,4.4,1017.8
1/22/2023,-0.5,-5,5,0,4.6,1012.3
1/23/2023,-1.6,-3,1,0,4,1018
1/24/2023,-2.8,-6,1,0,4.4,1017
1/25/2023,-2.5,-7,1,0.1,4.2,1020.3
1/26/2023,0.3,-6,4,0,13,1019
1/27/2023,2.6,0,5,0.6,8.3,1009.5
1/28/2023,-3.5,-12,2,0.6,5.8,1011.2
1/29/2023,-15.3,-18,-12,0.6,7.7,1017.5
1/30/2023,-16.7,-20,-13,0.8,3.2,1018.6
1/31/2023,-11.7,-20,-3,0,3.9,1017.9
2/1/2023,-3.2,-11,6,0,4.7,1018.4
2/2/2023,-0.5,-6,6,0,4.2,1025
2/3/2023,8.8,6,15,0,10.9,1021.2
2/4/2023,8.8,5,11,0,12.6,1017
2/5/2023,2.5,0,7,0,3.6,1013.1
2/6/2023,4,1,7,0,13.9,1011.8
2/7/2023,2.6,-1,8,0,8.4,1021.5
2/8/2023,2.4,-3,10,0.6,11.5,1016.5
2/9/2023,-1.3,-6,1,0.7,12.5,1026.4
2/10/2023,-1.5,-8,7,0,2.8,1025
2/11/2023,3.4,-3,11,0,4.3,1016.8
2/12/2023,3.5,-1,9,0,5.2,1016.5
2/13/2023,5,-1,13,0,6.3,1005.3
2/14/2023,4,-2,10,0.1,11.1,994.5
2/15/2023,-9,-11,-4,7.9,7.6,1014.8
2/16/2023,-7,-13,0,0,3.7,1020.5
2/17/2023,0.7,-9,10,0,6.1,1019.6
2/18/2023,7.3,4,12,0,12.8,1011.2
2/19/2023,6,3,8,0,19.5,1010.1
2/20/2023,9,3,12,0,18.7,1007.2
2/21/2023,7.8,1,17,0.2,11.1,995.6
2/22/2023,-12.5,-20,0,8.9,10.6,999.6
2/23/2023,-17.5,-23,-13,0.5,2.7,1015
2/24/2023,-7.6,-18,5,0,4.9,1018.1
2/25/2023,3.5,-7,16,0,7.6,1015.4
2/26/2023,5.4,-2,15,0,6.2,1000.8
2/27/2023,5.7,1,10,0,20.9,1005.5
2/28/2023,3.2,0,10,0,18.2,1003.1
3/1/2023,-1.4,-5,1,1.1,8.5,1007.8
3/2/2023,0.9,-6,10,0,4.8,1006.3
3/3/2023,2,-2,8,1.7,5.4,1005.5
3/4/2023,-0.6,-4,3,0,6.6,1010.3
3/5/2023,2.7,-6,12,0.2,9.8,1007.6
3/6/2023,1.4,-5,7,0,7.3,1016.3
3/7/2023,-0.9,-2,1,0,6.6,1018.6
3/8/2023,0.1,-1,2,1.7,4.7,1017.8
3/9/2023,4.3,-2,12,0.7,14.8,1017.3
3/10/2023,5.8,-2,15,0,8.2,1007.6
3/11/2023,8.1,2,13,0.5,10.1,1007.6
3/12/2023,0.3,-3,4,0,5.2,1017.6
3/13/2023,2.9,-4,11,0,4.1,1017.1
3/14/2023,8.3,0,17,0,6.1,1013.3
3/15/2023,11.7,5,20,0.9,12.3,1004.1
3/16/2023,0.8,-2,6,5.8,9.2,1017.2
3/17/2023,0.5,-5,6,0,5.3,1021.3
3/18/2023,0.3,-7,8,0,5.9,1024.6
3/19/2023,4,-5,12,0,8.2,1016.6
3/20/2023,6.6,1,12,0,6.7,1006.2
3/21/2023,6.8,0,13,0,12.5,1005.8
3/22/2023,1.5,0,5,6.5,5.6,1009.8
3/23/2023,3.2,-2,10,0.2,5.7,1012.8
3/24/2023,4.4,-2,12,0,5.6,1008.3
3/25/2023,0.5,-3,4,2.4,17.4,1008.8
3/26/2023,0.2,-4,4,0,7.9,1013.5
3/27/2023,-1.4,-3,1,1.6,9.8,1020.5
3/28/2023,0.6,-7,8,0,6.2,1021.3
3/29/2023,2.5,-1,8,0,3.8,1013.9
3/30/2023,5.3,-2,17,0.6,12.2,1000.8
3/31/2023,5.9,2,10,0,24.8,1005.5
4/1/2023,10.7,2,17,0,12,1013.4
4/2/2023,14.2,8,20,0,17.9,1006
4/3/2023,7.1,2,12,0,13.5,1001.3
4/4/2023,-2.3,-5,2,4.2,14.5,1002.4
4/5/2023,-2.1,-9,5,0.4,6.6,1015.9
4/6/2023,4,-4,12,0,4.1,1022.8
4/7/2023,8.8,0,19,0,5.4,1019.6
4/8/2023,11.3,2,18,0,5.5,1017.2
4/9/2023,12.9,5,21,0,8.4,1023.3
4/10/2023,13.9,4,25,0,4.2,1025.5
4/11/2023,18.8,7,29,0,7.6,1018
4/12/2023,19.3,10,27,0,9.9,1008.7
4/13/2023,16.7,9.6,23,0,15.1,998.8
4/14/2023,4.1,0,16,8.1,7.1,1008.8
4/15/2023,4.8,0,10,0.2,10.8,1020
4/16/2023,8.2,0,17,0,5.2,1021.9
4/17/2023,13.3,2,22,0,5.8,1011.4
4/18/2023,14.5,6,23,0,9.6,1001.8
4/19/2023,8.3,3,13,4.8,12,1006.7
4/20/2023,4.5,0,10,0.3,19.7,1017.9
4/21/2023,4.7,0,10,1.5,12.3,1018.9
4/22/2023,-0.2,-3,2,1.6,5.5,1021.7
4/23/2023,5.9,-2,13,0,3.4,1016.3
4/24/2023,10.3,3,18,0.1,5.7,1010.8
4/25/2023,8.3,4,13,11.4,13.2,1011.8
4/26/2023,8.4,4,15,6.1,5.8,1018.8
4/27/2023,11.5,4,19,4.4,14.9,1013.2
4/28/2023,8.2,2,14,1.1,8.4,1022.3
4/29/2023,14.8,6,22,0,5,1019.9
4/30/2023,13.2,7,20,0,5.7,1017.9
5/1/2023,13,4,21,0,5.6,1014.8
5/2/2023,12.5,7,17,1.8,4.8,1015.9
5/3/2023,17.5,8,26,0,6.1,1013.5
5/4/2023,15.8,11,22,2,8.1,1010.9
5/5/2023,15.5,8,22,0.7,9.1,1010.7
5/6/2023,13.8,5,20,0.5,8.9,1012.6
5/7/2023,14.9,9,20,1,8,1015.1
5/8/2023,15,6,22,1.4,5,1016.6
5/9/2023,16,7,24,2.2,5.3,1015.3
5/10/2023,11.2,8,13,7.9,5.5,1015.3
5/11/2023,9.3,8,11,26.2,5.4,1012
5/12/2023,11.7,8,17,12.8,6.1,1018.1
5/13/2023,11.8,7,15,10.6,5,1025.4
5/14/2023,11.2,9,16,18.6,7.5,1030.9
5/15/2023,11.2,8,14,3.5,5.1,1030.6
5/16/2023,16.4,7,25,0.7,5.3,1021.8
5/17/2023,17.3,9,26,2.9,4.7,1017.5
5/18/2023,13.3,10,20,5.8,5.6,1019.6
5/19/2023,11.1,9,13,2.9,3.3,1026.5
5/20/2023,13.9,9,18,2.9,4.6,1024.5
5/21/2023,17.8,11,23,0,8.3,1021.2
5/22/2023,17.3,12,24,0,4.3,1017.7
5/23/2023,18,10,25,0,4,1017.3
5/24/2023,15.7,12,20,8.1,6.6,1017.7
5/25/2023,15.8,10,21,1.5,5.2,1016
5/26/2023,14.8,10,19,3.5,7.2,1017.3
5/27/2023,16.2,10,24,0.7,7.2,1014.5
5/28/2023,17,11,23,0.3,6.5,1015.7
5/29/2023,18.9,11,27,0.7,4,1015.5
5/30/2023,18.3,11,25,0.4,6,1015.4
5/31/2023,16.8,11,23,2.9,7.5,1013.9
6/1/2023,15.6,11,22,3.4,5.8,1012.8
6/2/2023,15.7,11,21,6.8,6.7,1014.6
6/3/2023,13.8,12,17,6.1,3.2,1019.5
6/4/2023,12.8,12,15,22.6,3.5,1022.3
6/5/2023,15.7,12,21,5.9,3,1022.3
6/6/2023,16.6,10,22,1.2,3,1018.5
6/7/2023,17.8,12,25,2.1,7.3,1016.3
6/8/2023,18.9,15,24,2.7,7.3,1017.3
6/9/2023,18.6,13,26,1.4,6.4,1017.2
6/10/2023,17.2,11,22,0.5,5.3,1016.6
6/11/2023,14.3,11,17,7.4,3.3,1019.7
6/12/2023,13.3,10,17,6.1,5,1017.3
6/13/2023,13.2,10,19,5.5,2.4,1016.7
6/14/2023,17.4,9,25,0,5.4,1013
6/15/2023,16.7,12,23,8.3,5.1,1013.3
6/16/2023,12.4,10,16,24.7,2.1,1020.7
6/17/2023,15.5,9,23,1,4.6,1017.7
6/18/2023,20.2,11,28,0,5.2,1011.9
6/19/2023,24.1,12,31,0,8.2,1010.8
6/20/2023,22.2,15,30,0,7.3,1015.1
6/21/2023,19.8,15,26,4,3.8,1018.7
6/22/2023,18.5,15,26,5.5,7.7,1019.4
6/23/2023,20.2,15,25,0,4.9,1014.4
6/24/2023,22.7,15,30,0,11.8,1017.9
6/25/2023,19.2,12,26,0,5,1022
6/26/2023,21.2,13,28,0,3.4,1016.9
6/27/2023,24.2,15,32,0,5.8,1012.3
6/28/2023,22.5,18,27,1.6,5.4,1016
6/29/2023,19.6,17,26,3,7.2,1019.2
6/30/2023,16.2,13,20,1.5,6.9,1021.9
7/1/2023,20,13,27,0.6,6.8,1022.1
7/2/2023,22.9,15,30,0.6,5.4,1019.7
7/3/2023,24.3,15,32,0,7.1,1018.3
7/4/2023,20.6,13,27,15.3,9.3,1019.7
7/5/2023,13.5,12,15,6.2,4.9,1023.1
7/6/2023,17.4,13,22,6.1,4.4,1019.3
7/7/2023,18.4,14,24,9,6.9,1019.8
7/8/2023,19,14,24,0.2,6.4,1019.1
7/9/2023,20.1,13,26,0.2,4,1019.8
7/10/2023,24.5,15,32,0,5.9,1017.7
7/11/2023,26.2,17,35,0,5.5,1017.5
7/12/2023,26,20,31,0,6.9,1018.4
7/13/2023,26,18,32,0,8.1,1017.7
7/14/2023,22.6,18,27,0,7.1,1020.4
7/15/2023,21.6,15,28,0,5.3,1023.6
7/16/2023,23.5,15,31,0,6.4,1022.3
7/17/2023,26.4,18,35,2,6.2,1020
7/18/2023,27,18,35,0.1,7.7,1019.8
7/19/2023,24.5,21,28,0.2,7.2,1024.1
7/20/2023,19.2,15,25,7.9,9.1,1026.5
7/21/2023,19.2,13,27,0.3,5.5,1026.1
7/22/2023,22.8,13,31,0,5,1023.4
7/23/2023,24.9,16,35,0,4.6,1022.1
7/24/2023,26.2,18,35,0,4.4,1022.8
7/25/2023,27.2,19,35,0.2,8.9,1021.8
7/26/2023,26.5,20,34,1.1,5.3,1022.6
7/27/2023,25.9,17,35,0,7.4,1021.4
7/28/2023,23.5,18,34,1.3,6.4,1023.6
7/29/2023,22.1,16,28,0,5.8,1025.4
7/30/2023,25.1,17,33,0.2,4.7,1023.2
7/31/2023,23.4,17,31,1.8,6.7,1022.9
8/1/2023,20.9,16,26,7,8.7,1022.9
8/2/2023,21.5,16,27,3.3,3.1,1022.3
8/3/2023,21.3,16,27,0.3,5.1,1021.3
8/4/2023,23.2,15,32,1.5,4.2,1020.3
8/5/2023,21,16,28,0.2,5.2,1023
8/6/2023,16.8,15,18,2.5,5,1026
8/7/2023,18.5,11,28,1.1,5.5,1021.8
8/8/2023,19.6,12,27,0,3.3,1018.8
8/9/2023,20.5,13,28,0,4.4,1017.9
8/10/2023,23.1,15,32,0.5,9.9,1015.9
8/11/2023,25.3,21,32,0,6.5,1018.3
8/12/2023,23,17,28,0,7.7,1019.5
